Variable,Model1_DV1_Coef,Model1_DV1_pvalue,Model2_DV2_Coef,Model2_DV2_pvalue,Model3_DV1_Coef,Model3_DV1_pvalue,Model4_DV2_Coef,Model4_DV2_pvalue
Intercept,1.2450,0.2624,-10.1942,0.2811,1.4018,0.0005,-6.9825,0.0047
IV1_ln_AUM,0.5012,0.0000,0.1162,0.6994,0.4638,0.0000,-0.0584,0.7030
IV2_DIFC_ADGM,0.0632,0.4016,-0.3552,0.7185,0.0755,0.2795,-0.8623,0.3354
IV3_Policy_Reform_Score,0.0507,0.4674,-0.5731,0.3341,0.0796,0.1428,0.2346,0.6967
IV4_NonOil_Portfolio_Cos,0.0137,0.2505,-0.1186,0.4355,0.0281,0.0000,-0.0406,0.5362
IV5_Sectoral_Focus_Score,0.1426,0.1042,11.3128,0.0000,0.0821,0.1214,10.5854,0.0000
CV1_GCC_Countries_Active,0.0511,0.4490,-0.5552,0.3807,,,, 
CV2_Cumulative_Exits,0.0051,0.3043,0.0679,0.2397,,,,
CV3_Avg_Oil_Price,−0.0042,0.7174,0.0987,0.3988,,,,
Post2015_Vintage_Dummy,0.0528,0.8334,-1.2458,0.3783,,,,
Firm_Age_Years,-0.0091,0.4284,-0.0657,0.4105,,,,
R2_Adjusted,0.9941,,0.9885,,0.9931,,0.9846,
R2_Overall,0.9961,,0.9925,,0.9943,,0.9873,
F_statistic,313.72,,155.76,,778.52,,462.38,
N_Obs,30,,30,,30,,30,
